,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,
,,,North America,,"33,633,677","+3,024","761,890",+469,"23,389,486","+6,239","9,482,301","21,083",,,,,,North America,,,,,
,,,Asia,,"25,092,940","+19,244","399,365",+347,"23,594,231","+20,364","1,099,344","21,895",,,,,,Asia,,,,,
,,,South America,,"18,048,525",+757,"468,234",+17,"16,325,612",+620,"1,254,679","18,969",,,,,,South America,,,,,
,,,Europe,,"34,298,085","+46,775","817,196","+1,248","23,945,780","+41,622","9,535,109","25,841",,,,,,Europe,,,,,
,,,Africa,,"3,935,446","+1,238","104,205",+21,"3,494,990","+2,796","336,251","2,526",,,,,,Africa,,,,,
,,,Oceania,,"51,300",+15,"1,090",,"34,293",+7,"15,917",2,,,,,,Australia/Oceania,,,,,
,,,,,721,,15,,706,,0,0,,,,,,,,,,,
,,World,"115,060,694","+71,053","2,551,995","+2,102","90,785,098","+71,648","21,723,601","90,316","14,761",327.4,,,,All,,,,,
,29,Sweden,"657,309",,"12,826 ",,N/A,N/A,N/A,234,"64,816","1,265","6,139,911","605,445","10,141,149 ",Europe,157912,
,30,Pakistan,"582,528","+1,163","12,938 ",+42,"547,406","+1,035","22,184","1,529","2,604",58,"9,022,124","40,327","223,725,678 ",Asia,"38417,29225",
,31,Philippines,"580,442","+2,067","12,369 ",+47,"534,463",+144,"33,610",785,"5,251",112,"8,785,105","79,469","110,547,691 ",Asia,"1908,93713",
,32,Switzerland,"557,492",,"9,988 ",,"511,437",,"36,067",181,"64,104","1,148","5,088,223","585,075","8,696,696 ",Europe,168712,
,33,Bangladesh,"546,801",,"8,416 ",,"497,797",,"40,588",,"3,298",51,"4,057,597","24,476","165,778,659 ",Asia,"30319,69841",
,34,Morocco,"483,766",,"8,637  ",,"469,345",,"5,784",253,"13,004",232,"5,660,854","152,171","37,200,727 ",Africa,"774,3077",
,35,Austria,"462,769","+1,920","8,605 ",+31,"433,873","+1,857","20,291",296,"51,188",952,"5,456,284","603,532","9,040,586 ",Europe,"201,0512",
,36,Serbia,"462,728",,"4,459 ",,"400,347",,"57,922",164,"53,103",512,"2,953,793","338,977","8,713,853 ",Europe,"191,9543",
,37,Hungary,"435,689","+2,764","15,188 ",+130,"324,202","+1,246","96,299",581,"45,177","1,575","3,693,390","382,974","9,643,970 ",Europe,226353,
,38,Japan,"432,773",,"7,887 ",,"410,604",,"14,282",436,"3,429",62,"8,256,502","65,415","126,217,845 ",Asia,"29216,00315",
,39,Jordan,"397,158",,"4,727 ",,"351,256",,"41,175",314,"38,670",460,"4,641,226","451,904","10,270,381 ",Asia,"262,1732",
,40,UAE,"396,771","+2,721","1,253 ",+15,"383,998","+1,666","11,520",,"39,798",126,"31,066,043","3,116,062","9,969,649 ",Asia,"257,9570",
,41,Saudi Arabia,"377,700",,"6,500 ",,"368,640",,"2,560",492,"10,738",185,"13,680,202","388,943","35,172,767 ",Asia,"935,4113",
,42,Lebanon,"376,938",,"4,743 ",,"294,270",,"77,925",898,"55,391",697,"3,033,254","445,738","6,805,016 ",Asia,"181,4352",
,43,Panama,"341,420",,"5,858 ",,"327,317",,"8,245",195,"78,312","1,344","1,913,569","438,920","4,359,725 ",North America,137442,
,44,Slovakia,"311,002","+2,077","7,388 ",+118,"255,300",,"48,314",694,"56,945","1,353","2,060,990","377,374","5,461,406 ",Europe,187393,
,45,Malaysia,"304,135","+1,555","1,141 ",+6,"278,431","+2,528","24,563",204,"9,318",35,"6,274,787","192,237","32,640,901 ",Asia,"10728,6075",
,46,Belarus,"288,267",,"1,985 ",,"278,661",,"7,621",,"30,513",210,"4,908,397","519,558","9,447,249 ",Europe,"334,7592",
